NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	NK cells	naive B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
RASGRP1	1.000 	1.000 	1.000 	93.526 	34.245 	8.545 	2.600 	1.771 	1.000 	2.805 	1.194 	66.436 	1.000 	1.000 	1.000 	7.788 	2.955 	1.000 	10.155 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.353 	1.000 	1.000 	1.000 	1.000 
RASGRP2	59.774 	30.426 	10.506 	231.963 	92.291 	202.996 	3.525 	12.940 	5.694 	15.501 	1.406 	106.825 	1.018 	6.203 	87.700 	1.000 	1.000 	1.000 	5.874 	1.000 	1.000 	1.000 	1.000 	1.000 	3.428 	1.030 	1.000 	1.101 	2.417 	1.000 	1.000 	1.000 	1.021 	1.000 
RASIP1	1.000 	1.000 	1.000 	1.000 	1.000 	1.379 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	30.922 	1.000 	1.000 	1.000 	1.000 	1.091 	9.048 	2.778 	8.590 	62.692 	1.000 	2.613 	1.000 	1.000 	1.126 	1.000 	1.361 
RASSF6	1.730 	1.004 	1.026 	1.003 	1.008 	1.014 	3.851 	1.035 	1.358 	1.025 	1.000 	1.001 	1.157 	1.001 	1.000 	1.000 	1.000 	1.000 	76.154 	1.000 	1.000 	1.000 	1.404 	1.000 	1.006 	2.586 	1.000 	1.000 	1.000 	1.001 	1.000 	1.000 	1.000 	1.000 
RBP1	1.099 	1.000 	1.000 	1.000 	1.000 	1.000 	1.484 	1.000 	1.017 	1.001 	4.618 	1.000 	1.005 	1.000 	1.000 	1.000 	1.297 	9.279 	1.000 	1.000 	2.086 	2.464 	26.922 	1.000 	3.102 	19.627 	4.681 	7.468 	1.020 	19.377 	1.105 	1.000 	85.644 	127.596 
RBP4	1.099 	1.000 	1.000 	1.000 	1.000 	1.000 	1.051 	1.000 	1.017 	1.000 	1.000 	1.000 	1.005 	1.000 	1.000 	1.000 	6.425 	1.000 	1.000 	3.169 	1.000 	1.000 	1.000 	1.000 	3.108 	1.000 	1.000 	1.000 	521.521 	1.000 	1.000 	1.000 	1.000 	1.000 
RCAN3	1.028 	4.776 	1.665 	127.363 	1.000 	9.608 	3.345 	4.375 	3.446 	5.182 	5.896 	69.718 	1.001 	4.878 	4.278 	5.429 	8.503 	1.237 	2.040 	2.827 	2.302 	1.174 	5.252 	7.492 	1.000 	8.458 	1.438 	1.000 	1.061 	1.000 	2.517 	2.005 	1.885 	2.810 
RCN3	22.081 	4.711 	1.000 	1.919 	1.000 	1.000 	1.046 	1.005 	1.016 	1.000 	3.890 	1.000 	1.010 	1.001 	2.461 	1.290 	1.723 	21.459 	7.815 	105.026 	103.754 	147.992 	3.990 	1.083 	4.269 	1.182 	8.381 	142.686 	8.076 	1.000 	83.124 	91.649 	321.292 	42.164 
REC8	22.595 	14.967 	33.733 	7.226 	5.503 	5.930 	17.963 	23.563 	17.558 	16.813 	1.462 	7.182 	7.231 	3.368 	2.524 	1.398 	1.078 	1.281 	23.947 	1.004 	1.211 	1.013 	4.377 	2.161 	1.244 	2.208 	1.219 	1.015 	1.249 	5.863 	1.436 	1.061 	6.441 	93.020 
RETN	11.545 	15.786 	1.417 	1.090 	1.197 	1.266 	2.095 	1.485 	2.279 	1.423 	5.925 	99.057 	2.102 	1.085 	106.984 	1.033 	1.048 	1.009 	1.257 	1.001 	1.007 	1.008 	1.002 	1.023 	1.172 	1.005 	1.013 	1.009 	1.000 	1.061 	1.028 	1.036 	1.003 	1.001 
RFESD	1.000 	1.000 	1.000 	3.104 	1.777 	1.000 	1.000 	1.000 	1.000 	1.000 	1.158 	1.809 	129.345 	10.344 	1.720 	1.207 	1.561 	1.000 	1.000 	1.059 	1.000 	1.000 	1.000 	1.000 	1.000 	1.072 	1.000 	1.000 	1.000 	8.294 	1.000 	1.000 	1.649 	1.032 
RGL4	63.601 	4.150 	16.319 	10.640 	10.377 	1.046 	49.767 	17.336 	82.712 	39.669 	1.000 	47.401 	1.425 	1.009 	8.787 	1.003 	1.005 	1.000 	1.535 	1.000 	1.000 	1.000 	1.000 	1.002 	1.021 	1.000 	1.000 	1.000 	1.000 	1.007 	1.003 	1.003 	1.000 	1.000 
RGS1	4.410 	53.803 	29.007 	53.533 	117.627 	115.443 	10.800 	15.025 	33.584 	16.468 	28.911 	246.922 	2.816 	18.449 	3.462 	57.904 	3.017 	1.000 	886.365 	1.000 	1.000 	1.000 	1.000 	1.001 	1.412 	1.000 	1.000 	1.000 	25.833 	1.005 	1.002 	1.002 	1.000 	1.000 
RGS10	5.966 	52.941 	57.661 	149.676 	3.619 	6.002 	152.222 	100.779 	91.019 	50.969 	66.139 	221.931 	115.823 	772.221 	4.498 	35.197 	20.748 	8.417 	13.621 	9.913 	18.287 	20.390 	23.455 	15.379 	6.766 	36.317 	8.667 	8.674 	9.233 	25.836 	17.354 	28.972 	18.384 	13.528 
RGS13	1.045 	1.000 	1.000 	1.000 	1.000 	1.000 	1.248 	1.000 	1.009 	1.000 	1.000 	1.000 	1.199 	1.000 	1.000 	1.000 	1.000 	1.000 	286.584 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
RGS18	119.982 	40.458 	5.759 	1.000 	1.000 	1.000 	1.663 	5.767 	3.109 	1.000 	6.392 	2.586 	15.460 	590.225 	69.454 	4.894 	2.492 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.011 	1.000 	1.000 	1.000 	1.000 	1.000 
RGS2	1455.146 	551.953 	42.680 	8.698 	46.187 	181.755 	70.325 	68.908 	86.745 	31.704 	15.068 	41.031 	11.540 	9.437 	2.563 	3.446 	8.821 	1.898 	201.774 	1.143 	6.838 	23.927 	5.053 	11.626 	3.622 	2.495 	1.906 	26.608 	36.985 	23.304 	4.625 	4.162 	25.998 	1.069 
RGS4	2.009 	1.012 	1.073 	1.008 	1.020 	1.036 	1.525 	1.100 	1.573 	1.071 	1.000 	1.005 	1.313 	1.007 	1.001 	1.002 	1.004 	17.925 	1.032 	1.063 	26.903 	90.844 	1.048 	1.001 	1.017 	1.000 	21.456 	235.800 	1.003 	2.728 	121.673 	7.763 	369.028 	84.872 
RGS6	2.011 	1.012 	1.073 	1.008 	1.020 	1.036 	1.612 	1.100 	1.574 	1.071 	1.000 	1.005 	5.584 	48.151 	1.001 	1.002 	1.004 	1.000 	1.032 	1.000 	1.000 	1.000 	1.000 	1.001 	1.081 	1.000 	1.000 	1.000 	1.279 	7.597 	1.002 	1.002 	1.000 	1.000 
RHAG	2.893 	1.127 	13.816 	1.085 	1.190 	1.258 	3.298 	2.825 	2.262 	1.414 	1.011 	1.056 	292.131 	224.325 	1.022 	1.031 	1.045 	1.009 	1.248 	1.001 	1.007 	1.008 	1.002 	1.022 	1.166 	1.004 	1.012 	1.009 	1.000 	1.057 	1.027 	1.034 	1.003 	1.001 
RHCE	2.695 	1.082 	1.326 	1.053 	1.136 	1.197 	2.466 	1.388 	2.114 	1.332 	1.006 	1.035 	62.383 	2.333 	1.014 	1.020 	1.028 	1.005 	1.390 	1.001 	1.004 	1.005 	1.001 	1.015 	1.113 	1.002 	1.008 	1.007 	1.000 	1.077 	1.017 	1.022 	1.001 	1.000 
RHOD	2.619 	1.066 	1.291 	1.043 	1.114 	1.170 	1.907 	1.350 	2.053 	1.297 	1.005 	1.028 	1.700 	1.041 	1.012 	1.017 	1.111 	3.618 	1.162 	11.662 	4.842 	4.185 	37.276 	1.521 	10.054 	114.201 	5.269 	1.443 	5.527 	1.030 	4.504 	1.384 	23.236 	30.674 
RHOH	5.649 	6.018 	171.135 	125.311 	24.873 	172.550 	63.729 	108.917 	115.449 	100.223 	1.903 	178.334 	14.818 	11.051 	9.256 	1.017 	1.023 	1.004 	68.241 	1.000 	1.003 	1.004 	1.000 	1.013 	1.093 	1.002 	1.023 	1.004 	1.020 	1.030 	1.014 	1.018 	1.001 	1.000 
RHOJ	2.603 	1.064 	1.282 	1.052 	1.111 	1.165 	2.023 	1.342 	2.039 	1.290 	1.005 	1.027 	1.687 	1.039 	1.012 	1.016 	1.022 	50.080 	1.157 	1.107 	1.347 	1.396 	1.001 	21.721 	1.856 	1.001 	21.438 	1.004 	1.624 	1.418 	1.014 	1.018 	5.415 	1.000 
RND3	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.035 	1.000 	1.840 	1.000 	1.419 	1.000 	1.000 	1.000 	1.000 	2.915 	1.557 	25.998 	1.000 	275.135 	81.307 	192.106 	47.630 	22.278 	6.079 	19.044 	16.707 	103.089 	50.129 	42.031 	250.675 	83.928 	17.607 	27.318 
RNU11	1816.309 	1732.487 	1.000 	632.701 	3621.075 	3968.788 	1.005 	1.000 	1.001 	1.000 	29.134 	1816.309 	1.000 	1.000 	1316.446 	3621.075 	161.570 	1.000 	1.230 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
RNU5D-1	2.176 	1.063 	1.048 	125.979 	796.736 	984.786 	1.461 	1.206 	1.485 	1.048 	1.000 	352.857 	1.370 	1.117 	68.335 	1.001 	11.916 	1.000 	2.074 	1.000 	1.000 	1.000 	1.000 	1.000 	1.012 	1.000 	1.000 	1.000 	1.000 	1.003 	1.001 	1.001 	1.000 	1.000 
RNU5E-1	814.756 	34.112 	1.000 	437.958 	2317.058 	1515.193 	1.070 	1.000 	1.024 	1.000 	11.871 	573.944 	1.015 	1.002 	321.568 	2795.000 	255.183 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
RNU5F-1	20.612 	1.010 	1.004 	75.809 	711.227 	588.148 	1.168 	1.031 	1.096 	1.004 	1.000 	346.762 	1.055 	1.010 	40.551 	1.000 	93.712 	1.000 	1.528 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
RNU6ATAC	1455.146 	830.001 	1.000 	469.163 	4536.057 	2737.490 	1.000 	1.000 	1.000 	1.000 	5.051 	473.220 	1.000 	1.000 	690.157 	2677.900 	95.797 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ROBO4	1.619 	1.002 	2.367 	1.001 	1.005 	1.009 	3.172 	6.576 	1.278 	1.017 	1.000 	1.000 	1.105 	1.000 	1.000 	1.000 	1.000 	136.687 	1.008 	1.000 	1.000 	1.000 	1.000 	1.000 	5.025 	2.170 	175.678 	1.055 	10.288 	1.000 	1.000 	5.859 	1.000 	1.000 
RPL18A	17.465 	500.262 	7592.133 	907.139 	548.743 	926.942 	3511.297 	2871.646 	3621.075 	4536.057 	309.119 	896.395 	2385.294 	1047.900 	487.710 	344.577 	270.640 	730.096 	1987.496 	561.808 	796.736 	528.359 	764.780 	464.896 	590.225 	803.370 	658.137 	684.808 	651.094 	128.539 	883.110 	611.279 	288.372 	1288.849 
RPL3	29.615 	329.880 	6953.972 	1008.882 	696.986 	596.304 	7790.238 	11889.937 	8467.823 	7112.652 	267.740 	896.395 	1734.667 	1628.908 	703.933 	235.457 	176.568 	1628.663 	2392.582 	1515.509 	1246.598 	1776.093 	1250.774 	1043.421 	219.597 	845.055 	1222.239 	1359.403 	876.927 	120.521 	1271.378 	1760.777 	802.692 	1633.053 
RPL36A-HNRNPH2	1.000 	8.694 	11.058 	1.000 	1.000 	1.000 	12.500 	17.071 	1.000 	7.150 	14.955 	1.000 	17.065 	16.563 	1.000 	1.000 	1.000 	62.840 	2.706 	55.275 	11.486 	46.290 	149.002 	105.049 	2.725 	270.219 	1.974 	175.327 	97.807 	1.639 	27.105 	181.273 	1.000 	115.894 
RPL7	39.855 	663.710 	17785.644 	1150.753 	656.796 	620.573 	9358.226 	8175.351 	13531.245 	10248.629 	391.445 	1074.658 	3621.075 	1776.093 	1074.658 	462.087 	360.822 	1246.598 	697.045 	1269.751 	726.168 	1110.381 	866.840 	770.318 	496.128 	756.922 	824.574 	1096.356 	849.401 	398.114 	772.014 	1100.594 	874.121 	540.796 
RPPH1	984.134 	706.839 	1.000 	451.651 	918.335 	960.770 	1.000 	4.676 	1.000 	1.000 	155.375 	484.125 	1.000 	2.028 	1062.040 	1047.900 	820.741 	30131.166 	1.000 	41926.733 	30131.166 	30131.166 	30131.166 	30131.166 	10248.629 	53722.299 	53722.299 	41926.733 	53722.299 	2.106 	30131.166 	30131.166 	53722.299 	30131.166 
RPS4Y1	16.277 	49.058 	448.957 	238.852 	111.329 	1.000 	517.448 	390.888 	91.257 	663.710 	37.878 	296.382 	207.757 	87.927 	1.000 	1.000 	25.730 	1.000 	96.986 	69.830 	94.190 	125.301 	122.444 	94.366 	80.341 	173.345 	1.000 	174.194 	1.000 	121.535 	24.956 	1.000 	1.000 	1.000 
RTN1	6.037 	11.388 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.052 	1.000 	1.000 	2.656 	1.000 	21.365 	3.132 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	11.658 	366.961 	1.000 	1.000 	1.036 	1.000 
RYR1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.056 	1.000 	1.000 	2.549 	1.000 	1.000 	1.000 	1.000 	1.495 	2.338 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	325.304 	1.211 	1.000 	2.536 	1.000 	3.922 	1.000 	1.000 	1.000 	1.000 
S0P25	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.857 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.125 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	273.280 	1.210 	1.228 	3.359 	1.012 
S100A1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.042 	1.000 	1.000 	1.000 	1.000 	1.000 	49.295 	1.000 	1.305 	1.014 	1.000 	1.000 	1.000 	1.181 	237.934 	1.000 	1.000 	1.000 	5.630 	1.000 	1.000 	1.000 	1.035 	1.105 
S100A12	1217.055 	322.033 	2.460 	1.335 	1.519 	1.619 	3.374 	1.932 	2.948 	1.851 	1.163 	73.665 	2.576 	1.321 	1.716 	1.755 	1.229 	1.051 	1.604 	1.015 	1.040 	1.047 	1.037 	1.137 	1.500 	1.029 	1.072 	1.052 	1.041 	1.263 	1.138 	1.180 	1.022 	1.007 
S100A14	3.724 	1.405 	1.831 	1.334 	1.516 	1.617 	2.679 	1.930 	2.946 	1.849 	1.055 	1.258 	2.458 	1.320 	1.129 	1.175 	1.230 	1.051 	1.603 	1.015 	1.040 	1.047 	18.035 	1.136 	1.470 	715.605 	1.072 	1.051 	1.004 	1.262 	1.137 	1.179 	1.022 	1.007 
S100A16	3.719 	1.404 	1.829 	1.367 	1.515 	1.615 	2.764 	1.928 	2.944 	1.848 	1.574 	1.257 	2.571 	1.319 	1.128 	5.535 	97.208 	252.097 	1.602 	56.150 	94.613 	101.995 	329.299 	6.318 	19.002 	730.096 	304.524 	210.946 	33.048 	2.902 	145.738 	356.636 	331.921 	299.727 
S100A2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.384 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.021 	1.000 	1.000 	8.708 	1.000 	1.000 	4208.435 	1.000 	1.166 	1.000 	1.000 	1.000 	1.000 	1.000 	4.976 
S100A8	7112.652 	2282.219 	1.000 	1.000 	1.000 	1.000 	1.000 	2.678 	1.000 	1.000 	95.006 	1166.755 	16.468 	1.000 	98.230 	109.865 	2.312 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	7.869 	106.521 	1.000 	1.000 	19.509 	1.000 	1.000 	1.000 	1.000 	1.000 
S100A9	30131.166 	4000.515 	1.000 	1.000 	1.000 	2.321 	1.000 	2.789 	1.000 	3.035 	539.785 	1380.380 	1.000 	1.000 	169.447 	656.796 	405.482 	1.000 	1.000 	1.000 	1.000 	1.000 	9.730 	1.000 	44.767 	615.048 	1.000 	1.000 	181.544 	1.000 	1.000 	1.000 	1.000 	1.000 
S100B	1.000 	1.000 	1.000 	1.973 	16.320 	1.000 	1.214 	1.000 	1.000 	5.360 	2.562 	35.730 	1.000 	1.000 	6.939 	1.000 	1.000 	1.000 	1.000 	4.967 	1.000 	1.000 	1.000 	538.367 	1.000 	1.000 	1.000 	1.000 	72.397 	420.959 	1.000 	1.000 	1.000 	1.000 
S100P	584.428 	24.278 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.889 	108.180 	1.000 	1.000 	292.131 	2.244 	25.331 	1.000 	1.000 	1.000 	1.000 	1.000 	1.195 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
S100Z	4.811 	9.345 	2.470 	1.000 	1.000 	1.000 	30.075 	19.383 	117.627 	35.102 	1.476 	1.000 	1.000 	1.000 	4.566 	1.000 	2.418 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
S1PR1	1.000 	5.317 	2.089 	120.386 	48.119 	37.009 	7.401 	8.170 	1.000 	2.711 	1.253 	18.876 	1.000 	1.000 	1.524 	1.000 	1.000 	99.192 	1.000 	1.844 	2.587 	2.509 	1.000 	1.000 	14.008 	1.198 	97.045 	1.000 	43.716 	8.052 	1.937 	1.669 	1.060 	3.707 
S1PR5	1.000 	1.000 	1.000 	1.000 	218.789 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	10.222 	1.000 	1.000 	1.000 	1.000 	1.648 	1.000 	1.000 	1.000 
SAA1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.284 	1.000 	2.363 	74.273 	1.000 	26.875 	359.439 	1.000 	1.000 	1.000 	1.000 	1.000 
SAMD3	3.841 	1.836 	1.854 	31.313 	282.335 	1.639 	5.043 	3.332 	2.983 	1.872 	1.060 	63.548 	2.487 	1.336 	1.159 	1.187 	1.243 	1.056 	1.623 	1.016 	1.055 	2.382 	1.017 	1.147 	1.516 	1.031 	1.079 	4.862 	1.005 	1.276 	4.021 	1.191 	1.024 	1.008 
SAMSN1	90.889 	168.909 	18.890 	16.468 	12.159 	3.302 	53.620 	32.950 	20.106 	22.209 	44.553 	26.815 	32.419 	19.539 	22.434 	15.392 	4.114 	1.057 	11.922 	1.003 	1.011 	1.012 	1.003 	1.034 	1.226 	1.008 	1.018 	1.013 	6.766 	1.091 	1.043 	1.053 	1.005 	1.001 
SCAR01	192.981 	339.218 	1.000 	289.242 	1628.908 	1483.835 	1.000 	1.000 	1.000 	1.000 	7.034 	302.094 	1.000 	1.000 	228.577 	544.130 	36.757 	1.000 	1.000 	1.000 	1.000 	5.256 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
SCAR013	2468.107 	912.065 	1.614 	1480.247 	1480.247 	1635.728 	1.801 	1.541 	4.725 	1.350 	346.803 	1776.093 	5.649 	4.917 	1628.908 	348.777 	506.889 	2225.851 	1.733 	2654.553 	704.107 	2392.582 	2191.733 	10999.534 	309.888 	437.744 	915.817 	2436.424 	2932.068 	1.020 	4078.566 	10248.629 	150.819 	1345.561 
SCAR015	95.867 	347.701 	1.220 	49.560 	2009.887 	1874.264 	1.805 	1.275 	1.921 	1.226 	1.107 	111.496 	1.774 	1.383 	59.043 	938.149 	9.689 	1.008 	1.114 	1.000 	1.001 	1.002 	1.000 	1.008 	1.062 	1.001 	1.003 	1.002 	1.000 	1.020 	1.009 	1.012 	1.049 	1.000 
SCAR016	2.458 	1.042 	1.216 	1.027 	1.074 	1.119 	1.797 	1.270 	1.913 	1.221 	1.002 	1.018 	1.588 	1.025 	1.008 	1.012 	1.015 	9.896 	1.112 	1.000 	1.002 	19.264 	1.000 	1.008 	1.106 	1.001 	67.715 	121.672 	1.000 	1.019 	227.546 	1.012 	1.000 	1.000 
SCAR02	52.865 	92.758 	1.000 	163.177 	568.675 	570.151 	1.000 	1.000 	1.000 	1.000 	62.000 	121.039 	1.000 	1.000 	118.940 	121.253 	15.570 	2153.404 	1.000 	3649.653 	2497.479 	1761.472 	2038.148 	10248.629 	2317.058 	1128.204 	2432.474 	4814.699 	7112.652 	1.000 	7112.652 	4168.579 	953.550 	1101.863 
SCAR022	530.649 	224.942 	1.232 	65.887 	608.372 	574.917 	1.823 	1.515 	1.944 	1.238 	11.070 	359.439 	1.794 	1.397 	696.986 	209.080 	38.913 	1.009 	1.122 	1.000 	1.002 	1.002 	1.000 	1.009 	1.067 	1.001 	1.004 	1.002 	1.000 	1.021 	1.010 	1.013 	1.000 	1.000 
SCAR03	225.119 	174.895 	1.000 	84.341 	1217.055 	1307.752 	1.000 	1.000 	1.000 	1.000 	5.522 	154.595 	1.000 	1.000 	93.526 	448.070 	20.450 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
SCAR08	57.010 	146.308 	1.000 	22.774 	1047.900 	902.158 	1.000 	1.000 	1.000 	1.000 	6.041 	70.745 	1.000 	1.000 	81.084 	305.173 	1.911 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
SCG5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.247 	1.000 	1.000 	1.000 	2.878 	1.000 	1.000 	1.000 	1.000 	8.484 	1.000 	1.000 	1.000 	1.097 	4.196 	4.377 	1.486 	1.000 	1.000 	16.400 	1.000 	6.024 	1.000 	234.644 	2.919 	1.000 	12.693 	16.518 
SCIMP	1.000 	18.975 	1.000 	1.000 	2.296 	9.223 	1.000 	1.000 	1.000 	1.000 	13.925 	1.000 	1.000 	1.000 	1.000 	1.000 	73.988 	1.000 	1.238 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.489 	1.000 	1.000 	1.000 	1.000 	1.000 
SDC1	1.080 	1.000 	1.000 	1.000 	1.000 	1.000 	1.043 	1.000 	1.015 	1.000 	1.925 	1.000 	1.003 	1.000 	1.000 	2.325 	8.645 	1.016 	79.506 	7.020 	10.455 	14.043 	82.723 	2.137 	1.000 	599.202 	1.000 	2.645 	1.000 	8.004 	17.672 	4.287 	20.248 	34.988 
SDC3	1.077 	1.000 	1.000 	1.000 	1.000 	1.000 	1.041 	1.000 	1.014 	1.000 	2.565 	1.000 	1.003 	1.000 	1.000 	4.788 	2.727 	6.575 	1.000 	8.335 	16.027 	7.551 	6.291 	166.364 	2.028 	2.778 	4.426 	10.617 	8.325 	3.472 	18.478 	4.653 	29.582 	27.826 
SDPR	1.401 	6.105 	7.864 	1.000 	1.000 	1.002 	25.424 	17.302 	10.489 	12.754 	1.000 	1.000 	24.094 	303.701 	1.000 	1.000 	1.000 	130.425 	1.001 	1.000 	5.962 	4.697 	1.168 	1.000 	12.338 	1.132 	102.948 	100.216 	21.877 	1.000 	3.025 	9.591 	3.659 	1.041 
SDS	1.000 	1.722 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	54.216 	1.000 	1.000 	1.000 	1.000 	17.249 	17.741 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
SEC11C	5.261 	23.826 	36.469 	26.677 	49.419 	28.300 	36.210 	18.312 	45.773 	25.474 	50.463 	30.971 	24.511 	34.921 	12.754 	63.960 	35.200 	6.786 	1175.521 	4.293 	5.145 	4.271 	11.340 	19.576 	4.928 	28.809 	10.000 	11.031 	4.975 	262.361 	9.349 	3.369 	10.268 	12.798 
SEL1L3	5.655 	6.537 	1.494 	16.670 	17.603 	194.819 	13.443 	13.578 	6.207 	5.579 	16.850 	5.688 	10.299 	20.388 	14.393 	3.972 	87.924 	43.038 	656.152 	2.287 	14.031 	50.651 	33.763 	3.244 	1.198 	21.772 	29.408 	19.338 	4.598 	24.838 	9.024 	1.356 	39.858 	11.340 
SELENBP1	1.669 	1.025 	1.020 	1.001 	1.006 	1.011 	1.971 	1.888 	1.314 	1.020 	1.000 	1.001 	79.971 	1.001 	1.000 	1.000 	1.000 	1.500 	1.009 	35.735 	24.077 	25.891 	1.598 	20.123 	23.426 	1.062 	1.242 	7.292 	25.683 	1.001 	6.375 	11.146 	5.690 	4.113 
SELK	33.991 	73.837 	61.105 	31.373 	32.125 	34.770 	124.085 	74.927 	77.598 	61.635 	17.448 	35.294 	67.748 	131.293 	11.596 	19.388 	22.248 	1.000 	341.876 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
SELL	690.157 	170.026 	133.054 	325.304 	56.229 	233.410 	411.723 	403.830 	521.521 	530.649 	1.719 	250.042 	3.069 	7.708 	5.812 	1.000 	1.000 	1.000 	12.641 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
SELM	1.216 	1.539 	1.001 	15.454 	2.183 	5.397 	2.163 	1.014 	1.042 	1.001 	2.774 	1.000 	1.012 	1.000 	1.000 	2.351 	1.358 	1.000 	154.241 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
SELP	2.310 	1.458 	1.028 	1.001 	1.000 	1.000 	1.677 	1.014 	3.048 	1.003 	1.000 	1.000 	10.975 	299.159 	1.000 	1.000 	1.000 	1.012 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.144 	1.000 	1.000 	1.000 	1.000 	1.000 
SELT	48.780 	48.730 	50.792 	27.278 	49.813 	29.345 	99.448 	74.799 	123.713 	56.745 	68.311 	28.340 	92.408 	539.696 	23.573 	68.074 	86.858 	1.000 	141.526 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
